city,rooms,chf/m2
bern,1.0,32.37042394569934
bern,1.5,34.482153539381855
bern,2.0,28.704739702902646
bern,2.5,25.40805673466179
bern,3.0,24.013961861174675
bern,3.5,23.71809956682244
bern,4.0,23.288278055429352
bern,4.5,24.261965500485907
bern,5.0,24.190751445086704
bern,5.5,24.824945727254786
bern,6.0,
bern,6.5,27.073863636363637
bern,7.0,23.300970873786408
bern,7.5,23.363636363636363
bern,10.5,
basel,1.0,32.03183067619571
basel,1.5,29.834242966714694
basel,2.0,25.544994558343994
basel,2.5,27.184033057818954
basel,3.0,23.509831846396423
basel,3.5,23.879779938422907
basel,4.0,21.97764057685479
basel,4.5,24.079675345548058
basel,5.0,23.677701436602124
basel,5.5,28.12059877714527
basel,6.0,23.93026941362916
basel,6.5,33.61610352264558
basel,7.0,24.878048780487806
basel,7.5,21.471571906354512
zuerich,1.0,56.290193265855734
zuerich,1.5,52.07326209498648
zuerich,2.0,43.51637332585372
zuerich,2.5,41.61679628908503
zuerich,3.0,32.893428593513626
zuerich,3.5,38.185829989647544
zuerich,4.0,35.73780191770846
zuerich,4.5,32.083226448184696
zuerich,5.0,28.862275449101798
zuerich,5.5,28.102040816326532
zuerich,6.0,50.48387096774193
zuerich,6.5,47.6970509383378
zuerich,7.0,29.563636363636363
luzern,1.0,45.62337080482242
luzern,1.5,44.029004805187284
luzern,2.0,29.59218842123773
luzern,2.5,31.559365590779205
luzern,3.0,23.00738414116683
luzern,3.5,25.84063777156378
luzern,4.0,22.069306930693067
luzern,4.5,26.18931290556844
luzern,5.0,29.333333333333332
luzern,5.5,22.27921498661909
luzern,7.5,60.903614457831324
luzern,8.5,34.285714285714285
winterthur,1.0,33.20071392785571
winterthur,1.5,30.792945860319062
winterthur,2.0,26.7829490162894
winterthur,2.5,26.325074866903286
winterthur,3.0,24.22720424992071
winterthur,3.5,24.534509554976687
winterthur,4.0,20.720813129429317
winterthur,4.5,21.511410441945895
winterthur,5.0,19.743589743589745
winterthur,5.5,22.202056866303693
winterthur,6.0,
winterthur,6.5,21.75410583941606
winterthur,7.5,21.19289340101523
